Champion,Runes
gwen,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
hecarim,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/PhaseRush/PhaseRush.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Waterwalking/Waterwalking.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/PhaseRush/PhaseRush.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Waterwalking/Waterwalking.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
heimerdinger,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
hwei,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ArcaneComet/ArcaneComet.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ArcaneComet/ArcaneComet.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
illaoi,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/GraspOfTheUndying/GraspOfTheUndying.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Demolish/Demolish.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/GraspOfTheUndying/GraspOfTheUndying.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Demolish/Demolish.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
irelia,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/JackOfAllTrades/JackofAllTrades2.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/JackOfAllTrades/JackofAllTrades2.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
ivern,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Waterwalking/Waterwalking.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CashBack/CashBack2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsMovementSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Waterwalking/Waterwalking.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CashBack/CashBack2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsMovementSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
janna,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/FontOfLife/FontOfLife.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsMovementSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/FontOfLife/FontOfLife.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsMovementSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
jarvaniv,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
jax,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/GraspOfTheUndying/GraspOfTheUndying.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Demolish/Demolish.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/GraspOfTheUndying/GraspOfTheUndying.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Demolish/Demolish.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Overgrowth/Overgrowth.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
jayce,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/PhaseRush/PhaseRush.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/PhaseRush/PhaseRush.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/AbsoluteFocus/AbsoluteFocus.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
jhin,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/FleetFootwork/FleetFootwork.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendBloodline/LegendBloodline.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/FleetFootwork/FleetFootwork.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/PresenceOfMind/PresenceOfMind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendBloodline/LegendBloodline.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
